id,date_of_complaint,customer_raised_issue,complaint_raised_by,complaint_raised_name,contact_number,complaint_raised_through,vehicle_type,vehicle_running_location,upload_file,submitted_to_email,device_model,date_of_sale_of_device,device_ICCID,telco_status,active_profile,vehicle_sale_date,expiry_date,first_communication_in_darby,last_communication_in_darby,vehicle_run,kilometers_hours,main_battery_voltage,issue_identified,issue_analysis,resolved_or_not,call_status,final_action_taken,final_call_status,date_of_closure
1,,,,iui,,,,,,,,,,,,,,,,,,,,,No,Closed,,Closed,
2,,,,iui,,,,,,,,,,,,,,,,,,,,,No,Closed,,Closed,
3,,,--,Samuya,,--,--,,,,,,,,,,,,,,,,,,No,--,,Closed,2023-12-31 22:33:00+00:00
4,,,AL Field,Samuya,,--,--,,,,,,,,,,,,,,,,,,Select one,Pending,,Closed,
5,,ok,Dealer,MB motors pali,0939054079,I-Alert,E-com,UTTAR PRADESH TO  BIHAR AND KOTA,,,,,,,,,,,,,,,,,Select one,--,,--,
6,1999-12-31 22:33:00+00:00,,Customer,MB motors pali,,--,--,,,,,,,,,,,,,,,,,,Select one,--,,--,
7,,,--,MB motors pali,0939054079,--,--,UTTAR PRADESH TO  BIHAR AND KOTA,,,,,,,,,,,,,,,,,Yes,Pending,,Closed,
8,,,Customer,MB motors pali,0939054079,--,--,UTTAR PRADESH TO  BIHAR AND KOTA,,,,,,,,,,,,,,,,,Yes,Pending,,Closed,
9,,,--,MB motors pali,0939054079,--,--,UTTAR PRADESH TO  BIHAR AND KOTA,,,,,,,,,,,,,,,,,Select one,--,,--,
10,,,--,ok,9052412031,--,--,hyd,,,,,,,,,,,,,,,,,Select one,--,,--,
11,,,--,ok,,--,--,hyd,,,,,,,,,,,,,234232,24.0,Partial V Packet,V Packet,Select one,--,,--,
12,1999-12-31 21:35:00+00:00,hfg,--,Samuya,,--,--,,,,,,,,,,,,,,,,,,Select one,--,,--,
13,1999-12-31 21:34:00+00:00,,--,Samuya,,--,--,,,,,,,,,,,,,,,,,,Select one,--,,--,
14,1999-12-31 22:54:00+00:00,,--,Samuya,,--,--,,,,,,,,,,,,,,,,,,Select one,--,,--,
15,,,--,Samuya,,--,--,,,,DL545,,89911643124482219,,,,,,,,,,,,Select one,--,,--,
16,,,--,sdddd,,--,--,,,,,,,,,,,,,,,,,,Select one,--,,--,
17,,,--,sdddd,,--,--,,,,,,,,,,,,,,,,,,Select one,--,,--,
18,,,--,Samuya,,--,--,,,,DL545,,89911643124482219,,,,,,,,,,,,Select one,--,,--,
19,,,--,Samuya,,--,--,,,upendram@danlawtech.com,DL545,,89911643124482219,,,,,,,,,,,,Select one,--,,--,
20,,,--,sdddd,8319208811,--,--,,,sales@danlawtech.com,,,,,,,,,,,,,,,Yes,Closed,ok,Closed,
21,,,--,sdddd,8319208811,--,--,,,sales@danlawtech.com,DL545,,89916430134726482704,--,--,,,,,Kilometers,,,--,--,No,Pending,,Pending,
22,,,--,sdddd,8319208811,--,--,,,sales@danlawtech.com,,,,--,--,,,,,Kilometers,,,--,--,Yes,Closed,,Closed,
23,,,--,sdddd,8319208811,--,--,,,upendram@danlawtech.com,,,,,,,,,,,,,,,Select one,--,,--,
24,,,--,sdddd,8319208811,--,--,,,upendram@danlawtech.com,,,,,,,,,,,,,,,Select one,--,,--,
25,,,--,sdddd,8319208811,--,--,,,upendram@danlawtech.com,DL545,,89916430134726482704,--,--,,,,,Kilometers,,,--,--,No,Pending,,--,
26,,,--,sdddd,8319208811,--,--,,,upendram@danlawtech.com,,,89916430134726482704,--,--,,,,,Kilometers,,13.0,--,--,Yes,Closed,,Closed,
